dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
7/6/10,0,424,424,424,0,0,1103963
7/7/10,0,431.5,431.5,431.5,0,0,1100697
7/8/10,0,437.25,437.25,437.25,0,0,1100987
7/9/10,0,436.25,436.25,436.25,0,0,1113690
7/12/10,0,433.75,433.75,433.75,0,0,1121856
7/13/10,0,432.5,432.5,432.5,0,0,1119447
7/14/10,0,438.5,438.5,438.5,0,0,1118799
7/15/10,0,446,446,446,0,0,1128987
7/16/10,0,443.25,443.25,443.25,0,0,1163602
7/19/10,0,438.75,438.75,438.75,0,0,1169797
7/20/10,0,439.5,439.5,439.5,0,0,1173224
7/21/10,0,442.25,442.25,442.25,0,0,1179328
7/22/10,0,439.25,439.25,439.25,0,0,1187774
7/23/10,0,436,436,436,0,0,1204077
7/26/10,0,435,435,435,0,0,1203578
7/27/10,0,434,434,434,0,0,1217250
7/28/10,0,443.25,443.25,443.25,0,0,1218786
7/29/10,0,447,447,447,0,0,1217546
7/30/10,0,448,448,448,0,0,1215550
8/2/10,0,443.75,443.75,443.75,0,0,1224623
8/3/10,0,441,441,441,0,0,1246775
8/4/10,0,448,448,448,0,0,1244110
8/5/10,0,440,440,440,0,0,1261010
8/6/10,0,446,446,446,0,0,1305004
8/9/10,0,443,443,443,0,0,1303362
8/10/10,0,435.5,435.5,435.5,0,0,1304889
8/11/10,0,433,433,433,0,0,1296608
8/12/10,0,437.75,437.75,437.75,0,0,1295383
8/13/10,0,445.25,445.25,445.25,0,0,1325077
8/16/10,0,440,440,440,0,0,1328667
8/17/10,0,444.5,444.5,444.5,0,0,1331219
8/18/10,0,442.75,442.75,442.75,0,0,1342763
8/19/10,0,436.75,436.75,436.75,0,0,1357711
8/20/10,0,447.25,447.25,447.25,0,0,1352534
8/23/10,0,448.25,448.25,448.25,0,0,1369908
8/24/10,0,441.5,441.5,441.5,0,0,1374411
8/25/10,0,442.25,442.25,442.25,0,0,1347805
8/26/10,444.5,446.75,444.5,446.75,0,0,1350656
8/27/10,0,445.5,445.5,445.5,1,1,1370261
8/30/10,0,449.75,449.75,449.75,0,1,1345050
8/31/10,0,451.25,451.25,451.25,0,1,1346171
9/1/10,0,454.75,454.75,454.75,0,1,1339412
9/2/10,0,455.75,455.75,455.75,0,1,1342298
9/3/10,0,462.5,462.5,462.5,0,1,1345903
9/6/10,0,462.5,462.5,462.5,0,0,0
9/7/10,0,455.25,455.25,455.25,0,1,1379988
9/8/10,0,454.75,454.75,454.75,0,1,1381016
9/9/10,0,463.25,463.25,463.25,0,1,1372643
9/10/10,0,462.25,462.25,462.25,0,1,1375869
9/13/10,0,459,459,459,0,1,1380633
9/14/10,0,466,466,466,0,1,1361503
9/15/10,0,470,470,470,0,1,1374552
9/16/10,0,468.5,468.5,468.5,0,1,1379961
9/17/10,0,469.75,469.75,469.75,0,1,1390229
9/20/10,475,475,468.25,468.25,0,1,1412474
9/21/10,0,468.75,468.75,468.75,1,2,1422858
9/22/10,0,469.5,469.5,469.5,0,2,1441646
9/23/10,0,464.75,464.75,464.75,0,2,1448009
9/24/10,0,475.75,475.75,475.75,0,2,1452428
9/27/10,473,473,467.25,467.25,0,2,1453270
9/28/10,0,462.75,462.75,462.75,1,2,1452871
9/29/10,0,474,474,474,0,2,1449581
9/30/10,0,477.25,477.25,477.25,0,2,1452657
10/1/10,0,467.75,467.75,467.75,0,2,1451414
10/4/10,0,473.25,473.25,473.25,0,2,1447310
10/5/10,0,479,479,479,0,2,1439438
10/6/10,0,476.25,476.25,476.25,0,2,1439868
10/7/10,0,483,483,483,0,2,1433142
10/8/10,0,497.5,491.25,497.5,0,2,1431144
10/11/10,0,495.5,495.5,495.5,0,2,1424619
10/12/10,0,502,502,502,0,2,1459987
10/13/10,502,502,499.25,499.25,0,2,1475534
10/14/10,0,506,506,506,2,4,1475226
10/15/10,505,505,500,500,0,4,1483836
10/18/10,0,507.75,507.75,507.75,6,6,1502016
10/19/10,0,504.25,504.25,504.25,0,6,1511885
10/20/10,0,526.25,526.25,526.25,0,6,1530657
10/21/10,0,522.25,522.25,522.25,0,6,1555364
10/22/10,0,519.5,519.5,519.5,0,6,1565254
10/25/10,0,531.25,531.25,531.25,0,6,1564517
10/26/10,525,530.75,525,530.75,0,6,1580662
10/27/10,0,534.25,534.25,534.25,3,9,1580990
10/28/10,525,534.5,525,534.5,0,9,1588551
10/29/10,0,532.75,532.75,532.75,14,23,1605365
11/1/10,530,530,528.75,528.75,8,31,1611121
11/2/10,0,534.75,534.75,534.75,6,27,1619741
11/3/10,0,536.5,536.5,536.5,0,27,1618198
11/4/10,535,540.25,535,540.25,0,27,1621939
11/5/10,0,541.75,541.75,541.75,7,28,1645839
11/8/10,0,533,533,533,7,28,1643123
11/9/10,0,529.25,529.25,529.25,0,28,1661389
11/10/10,0,524.25,524.25,524.25,0,28,1674250
11/11/10,0,509.75,509.75,509.75,0,28,1664935
11/12/10,0,480,480,480,0,28,1660411
11/15/10,0,489.75,489.75,489.75,0,28,1653108
11/16/10,0,477,477,477,2,27,1643679
11/17/10,0,492.25,492.25,492.25,0,27,1632201
11/18/10,0,505.5,505.5,505.5,0,27,1641314
11/19/10,0,491,491,491,0,27,1653059
11/22/10,0,483.75,483.75,483.75,0,27,1668010
11/23/10,0,495.75,495.75,495.75,0,27,1648935
11/24/10,0,508.75,508.75,508.75,0,27,1630025
11/25/10,0,508.75,508.75,508.75,0,0,0
11/26/10,500,507.75,500,507.75,0,27,1619307
11/29/10,0,509,509,509,1,28,1576323
11/30/10,0,502.5,502.5,502.5,0,28,1528470
12/1/10,0,524.25,524.25,524.25,0,28,1518147
12/2/10,0,514,514,514,0,28,1514003
12/3/10,0,523.75,523.75,523.75,0,28,1508340
12/6/10,0,518,518,518,0,28,1503690
12/7/10,0,513.25,513.25,513.25,0,28,1491637
12/8/10,0,519,519,519,0,28,1489861
12/9/10,0,512.75,512.75,512.75,0,28,1484531
12/10/10,0,510.75,510.75,510.75,0,28,1491606
12/13/10,0,519,519,519,0,28,1487549
12/14/10,0,514.75,514.75,514.75,0,28,1494883
12/15/10,0,512.25,512.25,512.25,0,28,1489795
12/16/10,0,516.5,516.5,516.5,0,28,1492855
12/17/10,0,525.5,525.5,525.5,0,28,1496879
12/20/10,0,525.75,525.75,525.75,0,28,1504473
12/21/10,0,529.75,529.75,529.75,0,28,1516013
12/22/10,0,530.5,530.5,530.5,0,28,1518419
12/23/10,530,532.25,530,532.25,0,28,1525690
12/24/10,530,532.25,530,532.25,0,0,0
12/27/10,0,527.5,527.5,527.5,2,30,1535906
12/28/10,0,533.75,533.75,533.75,0,30,1534679
12/29/10,0,534,534,534,0,30,1542446
12/30/10,0,529.25,529.25,529.25,0,30,1542930
12/31/10,0,534,534,534,0,30,1537366
1/3/11,0,525.5,525.5,525.5,0,30,1549228
1/4/11,0,523.5,523.5,523.5,0,30,1552174
1/5/11,0,545.5,545.5,545.5,0,30,1546154
1/6/11,0,532,532,532,0,30,1556129
1/7/11,0,529,529,529,0,30,1572241
1/10/11,0,530,530,530,0,30,1551168
1/11/11,0,530,530,530,0,30,1550491
1/12/11,0,530,530,530,0,30,1553650
1/13/11,0,538.5,538.5,538.5,1,31,1578444
1/14/11,0,540.75,540.75,540.75,0,31,1588975
1/17/11,0,540.75,540.75,540.75,0,0,0
1/18/11,0,543.5,543.5,543.5,0,31,1596366
1/19/11,0,536.75,536.75,536.75,0,31,1610187
1/20/11,0,543.5,543.5,543.5,0,31,1610024
1/21/11,0,550.25,550.25,550.25,0,31,1614047
1/24/11,0,551.25,551.25,551.25,0,31,1623828
1/25/11,0,545.5,545.5,545.5,0,33,1628475
1/26/11,0,553.75,553.75,553.75,0,33,1623750
1/27/11,0,547.75,547.75,547.75,0,33,1628371
1/28/11,0,540.5,540.5,540.5,0,33,1634286
1/31/11,0,551.25,551.25,551.25,0,33,1639347
2/1/11,0,559,559,559,0,33,1654469
2/2/11,0,555.25,555.25,555.25,0,33,1669114
2/3/11,0,547.75,547.75,547.75,0,33,1687206
2/4/11,0,561.5,561.5,561.5,0,33,1689681
2/7/11,0,559,559,559,0,33,1695836
2/8/11,0,565.5,565.5,565.5,0,33,1695404
2/9/11,555,566,549,566,0,33,1690124
2/10/11,0,569.5,569.5,569.5,4,37,1711423
2/11/11,0,568.25,568.25,568.25,0,37,1719729
2/14/11,0,559.5,559.5,559.5,0,37,1721406
2/15/11,0,545.5,545.5,545.5,0,37,1725098
2/16/11,0,547,547,547,2,37,1719874
2/17/11,0,560.25,560.25,560.25,0,37,1723051
2/18/11,0,553.5,553.5,553.5,0,37,1745258
2/21/11,0,553.5,553.5,553.5,0,0,0
2/22/11,530,530,527.5,527.5,0,37,1728923
2/23/11,530,534.25,530,534.25,1,38,1712939
2/24/11,0,526.5,526.5,526.5,1,39,1667098
2/25/11,525,538.75,525,538.75,0,39,1659379
2/28/11,0,540.75,540.75,540.75,1,40,1651178
3/1/11,0,535.25,535.25,535.25,0,40,1643459
3/2/11,537,539.5,529.25,539.5,0,40,1647635
3/3/11,0,555.75,555.75,555.75,2,40,1646492
3/4/11,0,559.75,559.75,559.75,0,40,1648363
3/7/11,0,564.5,564.5,564.5,0,40,1648244
3/8/11,0,566.5,566.5,566.5,0,40,1631538
3/9/11,0,566.5,566.5,566.5,0,40,1627775
3/10/11,0,548.25,548.25,548.25,0,40,1625207
3/11/11,548,550.75,548,550.75,0,40,1634156
3/14/11,0,555,555,555,1,41,1633117
3/15/11,0,527,527,527,0,41,1622535
3/16/11,543,543,530.25,530.25,0,41,1613794
3/17/11,550,558.5,550,558.5,2,41,1593406
3/18/11,560,563.5,560,563.5,2,42,1586877
3/21/11,0,575.5,575.5,575.5,1,43,1576873
