dates,Open,High,Low,Close,Volume,OpenInt,TotalOpenInt
11/12/10,0,1093.5,1093.5,1093.5,0,0,636147
11/15/10,0,1107,1107,1107,0,0,636604
11/16/10,0,1067,1067,1067,0,0,628018
11/17/10,0,1054,1054,1054,0,0,617458
11/18/10,0,1081.25,1081.25,1081.25,0,0,612503
11/19/10,0,1067,1067,1067,0,0,614816
11/22/10,0,1075.25,1075.25,1075.25,0,0,615803
11/23/10,0,1088.25,1088.25,1088.25,0,0,621891
11/24/10,0,1105,1105,1105,0,0,622647
11/25/10,0,1105,1105,1105,0,0,0
11/26/10,0,1097.5,1097.5,1097.5,0,0,625531
11/29/10,0,1096,1096,1096,0,0,629228
11/30/10,0,1100,1100,1100,0,0,629641
12/1/10,0,1132,1132,1132,0,0,631521
12/2/10,0,1131,1131,1131,0,0,637044
12/3/10,0,1135,1135,1135,0,0,635581
12/6/10,0,1139.5,1139.5,1139.5,0,0,637187
12/7/10,0,1144,1144,1144,0,0,631450
12/8/10,0,1154,1154,1154,0,0,631786
12/9/10,0,1140.25,1140.25,1140.25,0,0,632093
12/10/10,0,1139.5,1139.5,1139.5,0,0,627974
12/13/10,0,1166.5,1166.5,1166.5,0,0,639740
12/14/10,0,1156,1156,1156,0,0,641380
12/15/10,0,1154.5,1154.5,1154.5,0,0,643172
12/16/10,0,1151,1151,1151,0,0,650096
12/17/10,0,1167.75,1167.75,1167.75,0,0,649436
12/20/10,0,1177,1177,1177,0,0,650720
12/21/10,0,1179,1179,1179,0,0,656932
12/22/10,0,1179.25,1179.25,1179.25,0,0,660862
12/23/10,0,1194,1194,1194,0,0,661077
12/24/10,0,1194,1194,1194,0,0,0
12/27/10,0,1203.25,1203.25,1203.25,0,0,662034
12/28/10,0,1204.25,1204.25,1204.25,0,0,656652
12/29/10,0,1203.25,1203.25,1203.25,0,0,646355
12/30/10,0,1216.5,1216.5,1216.5,0,0,638635
12/31/10,0,1231.5,1231.5,1231.5,0,0,628389
1/3/11,0,1212.25,1212.25,1212.25,0,0,629399
1/4/11,0,1194,1194,1194,0,0,625584
1/5/11,0,1212,1212,1212,0,0,622609
1/6/11,0,1207.5,1207.5,1207.5,0,0,626285
1/7/11,0,1205,1205,1205,0,0,619912
1/10/11,0,1205,1205,1205,0,0,617497
1/11/11,0,1189,1189,1189,0,0,623778
1/12/11,0,1200,1200,1200,0,0,623205
1/13/11,0,1197,1197,1197,0,0,631594
1/14/11,0,1202,1202,1202,1,1,642515
1/17/11,0,1202,1202,1202,0,0,0
1/18/11,0,1192,1192,1192,0,1,646246
1/19/11,0,1196,1196,1196,0,1,654378
1/20/11,0,1202.75,1202.75,1202.75,0,1,658882
1/21/11,0,1211,1211,1211,0,1,660339
1/24/11,0,1205.75,1205.75,1205.75,0,1,662135
1/25/11,0,1187,1187,1187,0,1,656305
1/26/11,0,1203,1203,1203,0,1,650122
1/27/11,0,1203,1203,1203,0,1,656493
1/28/11,0,1204,1204,1204,0,1,660596
1/31/11,0,1220,1220,1220,0,1,662077
2/1/11,0,1234,1234,1234,0,1,667874
2/2/11,0,1229,1229,1229,0,1,677851
2/3/11,0,1226.5,1226.5,1226.5,0,1,686598
2/4/11,0,1230,1230,1230,0,1,690887
2/7/11,0,1229,1229,1229,0,1,699400
2/8/11,0,1237,1237,1237,0,1,697263
2/9/11,0,1239,1239,1239,0,1,698094
2/10/11,0,1229,1229,1229,0,1,703682
2/11/11,0,1225,1225,1225,0,1,704913
2/14/11,0,1216.75,1216.75,1216.75,0,1,701830
2/15/11,0,1204,1204,1204,0,1,700839
2/16/11,0,1204.5,1204.5,1204.5,0,1,698764
2/17/11,0,1239,1239,1239,0,1,690781
2/18/11,0,1207.5,1207.5,1207.5,0,1,681485
2/21/11,0,1207.5,1207.5,1207.5,0,0,0
2/22/11,0,1149,1149,1149,0,1,649459
2/23/11,0,1168,1168,1168,0,1,638392
2/24/11,0,1168.25,1168.25,1168.25,0,1,627370
2/25/11,0,1192,1192,1192,0,1,623526
2/28/11,0,1189,1189,1189,0,1,618719
3/1/11,0,1192.5,1192.5,1192.5,0,1,612246
3/2/11,0,1199.25,1199.25,1199.25,0,1,612668
3/3/11,0,1204,1204,1204,0,1,612285
3/4/11,0,1212,1212,1212,0,1,614600
3/7/11,0,1215,1215,1215,0,1,618563
3/8/11,0,1210,1210,1210,0,1,619123
3/9/11,0,1184,1184,1184,0,1,617315
3/10/11,0,1180.5,1180.5,1180.5,0,1,616231
3/11/11,1180,1180,1160.5,1160.5,0,1,620729
3/14/11,0,1171.5,1171.5,1171.5,1,1,620556
3/15/11,0,1125.5,1125.5,1125.5,0,1,620192
3/16/11,0,1132.5,1132.5,1132.5,0,1,623278
3/17/11,0,1182.5,1182.5,1182.5,0,1,620745
3/18/11,0,1195.25,1195.25,1195.25,0,1,611402
3/21/11,0,1212.25,1212.25,1212.25,0,1,614224
3/22/11,0,1210.75,1210.75,1210.75,0,1,613680
