"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","WDMV","WSF2","WSF5"
"USW00014933","41.5338","-93.653","291.7","2004-01-01","0.00","52","27",,"21.0","23.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-02","0.00","60","31",,"21.0","25.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-03","0.00","34","20",,"19.9","21.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-04","0.30","21","11",,"21.9","29.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-05","0.00","11","-5",,"23.9","29.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-06","0.00","16","-6",,"23.9","29.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-07","0.00","26","0",,"15.0","17.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-08","0.00","31","20",,"16.1","17.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-09","0.00","26","12",,"14.1","17.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-10","0.00","31","13",,"16.1","17.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-11","0.00","49","27",,"21.0","25.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-12","0.00","45","24",,"21.9","25.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-13","0.00","35","24",,"15.0","17.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-14","0.00","40","20",,"33.1","38.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-15","0.00","38","14",,"16.1","21.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-16","0.63","34","26",,"14.1","17.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-17","0.02","34","25",,"17.9","23.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-18","0.00","27","4",,"125.0","125.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-19","0.00","16","2",,"16.1","19.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-20","0.00","23","13",,"10.1","14.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-21","0.00","46","17",,"30.0","40.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-22","0.00","19","1",,"23.9","31.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-23","0.00","53","19",,"21.9","25.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-24","0.00","25","15",,"17.0","23.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-25","0.00","27","17",,"23.0","31.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-26","0.40","21","15",,"23.0","25.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-27","0.02","15","-4",,"29.1","34.9"
"USW00014933","41.5338","-93.653","291.7","2004-01-28","0.00","5","-8",,"19.9","25.1"
"USW00014933","41.5338","-93.653","291.7","2004-01-29","0.07","2","-8",,"17.9","21.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-30","0.03","2","-8",,"13.0","15.0"
"USW00014933","41.5338","-93.653","291.7","2004-01-31","0.03","14","-6",,"14.1","17.9"
"USW00014933","41.5338","-93.653","291.7","2004-02-01","0.24","23","12",,"13.0","16.1"
"USW00014933","41.5338","-93.653","291.7","2004-02-02","0.16","25","8",,"25.9","32.0"
"USW00014933","41.5338","-93.653","291.7","2004-02-03","0.00","10","0",,"23.0","28.0"
"USW00014933","41.5338","-93.653","291.7","2004-02-04","0.02","20","2",,"16.1","21.0"
"USW00014933","41.5338","-93.653","291.7","2004-02-05","0.52","25","17",,"21.0","25.1"
"USW00014933","41.5338","-93.653","291.7","2004-02-06","0.09","24","12",,"28.0","33.1"
"USW00014933","41.5338","-93.653","291.7","2004-02-07","0.00","12","-2",,"21.9","25.1"
"USW00014933","41.5338","-93.653","291.7","2004-02-08","0.00","33","-4",,"36.0","40.9"
"USW00014933","41.5338","-93.653","291.7","2004-02-09","0.00","31","19",,"23.0","29.1"
"USW00014933","41.5338","-93.653","291.7","2004-02-10","0.00","28","16",,"21.0","25.1"
