Open,Close,High,Low,Volume,Date
3.755,3.75,3.77,3.7275,,12/31/18
3.745,3.755,3.775,3.745,,12/28/18
3.7325,3.745,3.765,3.7325,,12/27/18
3.7825,3.7325,3.7925,3.725,,12/26/18
3.7825,3.7775,3.79,3.7525,,12/24/18
3.755,3.785,3.795,3.7475,,12/21/18
3.8175,3.7525,3.8275,3.75,,12/20/18
3.85,3.8175,3.8525,3.815,,12/19/18
3.8375,3.855,3.865,3.8325,,12/18/18
3.8425,3.84,3.86,3.8325,,12/17/18
3.78,3.7675,3.79,3.775,,12/14/18
3.75,3.755,3.775,3.74,,12/13/18
3.755,3.7625,3.78,3.755,,12/12/18
3.7375,3.75,3.765,3.7275,,12/11/18
3.7425,3.7425,3.76,3.7275,,12/10/18
3.7175,3.74,3.7475,3.715,,12/07/18
3.74,3.72,3.745,3.6925,,12/06/18
3.735,3.7425,3.76,3.725,,12/05/18
3.7,3.7425,3.7425,3.695,,12/04/18
3.7275,3.7125,3.74,3.695,,12/03/18
3.6075,3.665,3.6675,3.605,,11/30/18
3.605,3.6025,3.63,3.59,,11/29/18
3.5625,3.605,3.615,3.56,,11/28/18
3.56,3.565,3.585,3.555,,11/27/18
3.595,3.56,3.605,3.5525,,11/26/18
3.61,3.59,3.6175,3.5875,,11/23/18
3.6125,3.6175,3.6325,3.6,,11/21/18
3.6275,3.6125,3.635,3.6125,,11/20/18
3.6475,3.6225,3.6625,3.6125,,11/19/18
3.6725,3.6475,3.6875,3.6325,,11/16/18
3.6675,3.675,3.7175,3.665,,11/15/18
3.66,3.67,3.68,3.6575,,11/14/18
3.695,3.665,3.7075,3.655,,11/13/18
3.69,3.7125,3.725,3.68,,11/12/18
3.7275,3.6975,3.74,3.6825,,11/09/18
3.72,3.735,3.79,3.66,,11/08/18
3.7225,3.7225,3.7325,3.71,,11/07/18
3.7375,3.7325,3.745,3.72,,11/06/18
3.71,3.74,3.7425,3.695,,11/05/18
3.6625,3.7125,3.73,3.6525,,11/02/18
3.6325,3.6675,3.71,3.63,,11/01/18
3.6475,3.6325,3.6525,3.625,,10/31/18
3.6675,3.6475,3.68,3.6425,,10/30/18
3.68,3.6675,3.715,3.655,,10/29/18
3.6175,3.6775,3.6975,3.6175,,10/26/18
3.6775,3.61,3.6825,3.605,,10/25/18
3.695,3.6825,3.6975,3.6775,,10/24/18
3.6925,3.7025,3.725,3.68,,10/23/18
3.655,3.695,3.705,3.655,,10/22/18
3.705,3.67,3.71,3.66,,10/19/18
3.73,3.7075,3.7325,3.695,,10/18/18
3.75,3.7425,3.7625,3.7325,,10/17/18
3.7725,3.7525,3.775,3.735,,10/16/18
3.73,3.7825,3.785,3.7175,,10/15/18
3.69,3.7375,3.74,3.685,,10/12/18
3.62,3.6925,3.73,3.6025,,10/11/18
3.645,3.6275,3.6525,3.62,,10/10/18
3.665,3.645,3.68,3.6375,,10/09/18
3.685,3.665,3.695,3.6425,,10/08/18
3.675,3.6825,3.695,3.63,,10/05/18
3.6475,3.675,3.685,3.6475,,10/04/18
3.6775,3.6475,3.69,3.645,,10/03/18
3.65,3.675,3.69,3.6325,,10/02/18
3.5675,3.6575,3.665,3.565,,10/01/18
3.645,3.5625,3.6675,3.545,,09/28/18
3.63,3.6475,3.6575,3.6125,,09/27/18
3.635,3.63,3.6475,3.6125,,09/26/18
3.6025,3.6375,3.6425,3.575,,09/25/18
3.5725,3.605,3.62,3.5575,,09/24/18
3.525,3.5725,3.5775,3.5225,,09/21/18
3.4525,3.525,3.5625,3.4475,,09/20/18
3.43,3.4575,3.4675,3.43,,09/19/18
3.48,3.4325,3.4875,3.425,,09/18/18
3.51,3.48,3.5175,3.4775,,09/17/18
3.385,3.37,3.3875,3.375,,09/14/18
3.445,3.3625,3.445,3.37,,09/13/18
3.5425,3.415,3.545,3.405,,09/12/18
3.5725,3.5525,3.5725,3.5475,,09/11/18
3.5325,3.555,3.56,3.53,,09/10/18
3.5275,3.5425,3.5575,3.51,,09/07/18
3.535,3.535,3.545,3.5075,,09/06/18
3.56,3.5175,3.56,3.51,,09/05/18
3.515,3.545,3.5525,3.4725,,09/04/18
3.41,3.51,3.52,3.4075,,08/31/18
3.415,3.41,3.44,3.405,,08/30/18
3.41,3.4125,3.44,3.4025,,08/29/18
3.4575,3.41,3.4775,3.4075,,08/28/18
3.485,3.4675,3.4875,3.43,,08/27/18
3.465,3.485,3.5,3.4625,,08/24/18
3.53,3.4675,3.55,3.4625,,08/23/18
3.5925,3.525,3.5925,3.5225,,08/22/18
3.6275,3.5975,3.6375,3.585,,08/21/18
3.6525,3.62,3.66,3.595,,08/20/18
3.65,3.6425,3.6775,3.6175,,08/17/18
3.615,3.6525,3.675,3.605,,08/16/18
3.6225,3.615,3.635,3.59,,08/15/18
3.565,3.6225,3.63,3.565,,08/14/18
3.575,3.565,3.58,3.5225,,08/13/18
3.685,3.5775,3.6975,3.57,,08/10/18
3.71,3.6925,3.7275,3.665,,08/09/18
3.705,3.7125,3.7375,3.7,,08/08/18
3.71,3.7075,3.7325,3.6875,,08/07/18
3.7,3.71,3.7175,3.6825,,08/06/18
3.6675,3.6975,3.7125,3.6475,,08/03/18
3.65,3.6675,3.7275,3.6475,,08/02/18
3.72,3.65,3.73,3.64,,08/01/18
3.67,3.7225,3.7425,3.6625,,07/31/18
3.64,3.6725,3.6925,3.635,,07/30/18
3.61,3.62,3.6375,3.595,,07/27/18
3.61,3.615,3.6575,3.6025,,07/26/18
3.5225,3.5925,3.6,3.52,,07/25/18
3.5525,3.52,3.565,3.515,,07/24/18
3.56,3.5725,3.585,3.545,,07/23/18
3.5125,3.5525,3.5575,3.4975,,07/20/18
3.47,3.5125,3.52,3.45,,07/19/18
3.4625,3.4725,3.49,3.46,,07/18/18
3.45,3.4625,3.4875,3.4425,,07/17/18
3.4,3.4175,3.4575,3.3875,,07/16/18
3.3225,3.3025,3.325,3.3225,,07/13/18
3.3225,3.365,3.4075,3.2975,,07/12/18
3.36,3.3125,3.37,3.315,,07/11/18
3.4425,3.3975,3.4475,3.3625,,07/10/18
3.46,3.4575,3.485,3.4325,,07/09/18
3.42,3.5175,3.5225,3.42,,07/06/18
3.455,3.435,3.4875,3.4225,,07/05/18
3.4025,3.4275,3.4525,3.3925,,07/03/18
3.5225,3.375,3.5225,3.37,,07/02/18
3.4575,3.5025,3.555,3.455,,06/29/18
3.515,3.45,3.525,3.445,,06/28/18
3.52,3.525,3.565,3.515,,06/27/18
3.505,3.525,3.555,3.48,,06/26/18
3.585,3.505,3.595,3.4925,,06/25/18
3.58,3.5725,3.5975,3.55,,06/22/18
3.5425,3.57,3.59,3.4925,,06/21/18
3.54,3.5425,3.57,3.475,,06/20/18
3.5575,3.5375,3.5775,3.3875,,06/19/18
3.595,3.56,3.62,3.54,,06/18/18
3.645,3.6125,3.6825,3.5525,,06/15/18
3.74,3.63,3.7475,3.625,,06/14/18
3.775,3.76,3.7975,3.7325,,06/13/18
3.68,3.775,3.795,3.6725,,06/12/18
3.765,3.6725,3.79,3.6675,,06/11/18
3.7625,3.7775,3.79,3.735,,06/08/18
3.79,3.7625,3.82,3.7425,,06/07/18
3.8425,3.7825,3.865,3.78,,06/06/18
3.8075,3.8375,3.8525,3.8,,06/05/18
3.8975,3.8075,3.8975,3.805,,06/04/18
3.9375,3.915,3.97,3.9075,,06/01/18
